tick,cpu_0,cpu_1,cpu_2,cpu_3
0,A,-,-,-
1,A,B,-,-
2,A,B,C,-
3,A,B,C,-
4,A,B,C,D
5,A,-,C,D
6,F,E,C,D
7,F,E,C,-
8,F,E,C,G
9,F,E,C,G
10,F,E,H,G
11,I,J,H,G
12,I,J,-,G
13,I,J,K,G
14,I,J,K,G
15,I,L,K,M
16,I,L,K,M
17,N,L,K,M
18,N,O,K,M
19,N,O,K,M
20,N,O,K,P
21,N,O,K,P
22,N,Q,R,P
23,N,Q,R,P
24,S,Q,R,P
25,S,T,R,P
26,U,T,R,V
27,U,T,R,V
28,U,T,R,V
29,U,T,R,V
30,U,W,X,Y
31,U,W,X,Y
32,Z,W,X,Y
33,Z,W,A1,Y
34,Z,W,A1,Y
35,Z,W,A1,Y
36,Z,W,A1,Y
37,B1,C1,D1,Y
38,B1,C1,D1,Y
39,B1,C1,D1,E1
40,B1,F1,D1,E1
41,B1,F1,D1,E1
42,B1,F1,D1,E1
43,G1,F1,D1,E1
44,G1,F1,H1,I1
45,J1,F1,H1,I1
46,J1,F1,H1,I1
47,J1,F1,H1,I1
48,J1,K1,H1,L1
49,J1,K1,H1,L1
50,J1,K1,M1,L1
51,J1,N1,M1,L1
52,J1,N1,M1,L1
53,J1,N1,M1,O1
54,P1,N1,M1,O1
55,P1,Q1,M1,O1
56,R1,Q1,M1,O1
57,R1,Q1,S1,O1
58,R1,Q1,S1,O1
59,R1,Q1,S1,T1
60,R1,Q1,U1,T1
61,V1,Q1,U1,T1
62,V1,Q1,U1,T1
63,V1,W1,U1,T1
64,V1,W1,X1,T1
65,V1,W1,X1,T1
66,V1,W1,X1,-
67,-,W1,-,-
68,-,W1,-,-
69,-,W1,-,-
70,-,W1,-,-
71,-,W1,-,-
