id,arrival,burst,start,completion,turnaround,waiting,response
A,0,6,0,6,6,0,0
A1,29,4,33,37,8,4,4
B,1,4,1,5,4,0,0
B1,30,6,37,43,13,7,7
C,2,8,2,10,8,0,0
C1,31,3,37,40,9,6,6
D,4,3,4,7,3,0,0
D1,32,7,37,44,12,5,5
E,6,5,6,11,5,0,0
E1,33,5,39,44,11,6,6
F,6,5,6,11,5,0,0
F1,34,8,40,48,14,6,6
G,8,7,8,15,7,0,0
G1,35,2,43,45,10,8,8
H,9,2,10,12,3,1,1
H1,36,6,44,50,14,8,8
I,10,6,11,17,7,1,1
I1,37,4,44,48,11,7,7
J,11,4,11,15,4,0,0
J1,38,9,45,54,16,7,7
K,13,9,13,22,9,0,0
K1,39,3,48,51,12,9,9
L,14,3,15,18,4,1,1
L1,40,5,48,53,13,8,8
M,15,5,15,20,5,0,0
M1,41,7,50,57,16,9,9
N,16,7,17,24,8,1,1
N1,42,4,51,55,13,9,9
O,17,4,18,22,5,1,1
O1,43,6,53,59,16,10,10
P,18,6,20,26,8,2,2
P1,44,2,54,56,12,10,10
Q,19,3,22,25,6,3,3
Q1,45,8,55,63,18,10,10
R,20,8,22,30,10,2,2
R1,46,5,56,61,15,10,10
S,21,2,24,26,5,3,3
S1,47,3,57,60,13,10,10
T,22,5,25,30,8,3,3
T1,48,7,59,66,18,11,11
U,23,6,26,32,9,3,3
U1,49,4,60,64,15,11,11
V,24,4,26,30,6,2,2
V1,50,6,61,67,17,11,11
W,25,7,30,37,12,5,5
W1,51,9,63,72,21,12,12
X,26,3,30,33,7,4,4
X1,52,3,64,67,15,12,12
Y,27,9,30,39,12,3,3
Z,28,5,32,37,9,4,4
# cpu_0_utilization=93.1
# cpu_1_utilization=97.2
# cpu_2_utilization=88.9
# cpu_3_utilization=84.7
# avg_utilization=91.0
