tick,cpu_0,cpu_1,cpu_2,cpu_3
0,A,-,-,-
1,A,B,-,-
2,A,B,C,-
3,A,B,C,-
4,A,B,C,D
5,A,C,-,D
6,F,C,E,D
7,F,C,E,-
8,F,G,E,C
9,H,G,F,C
10,H,G,F,E
11,J,G,I,E
12,J,G,I,-
13,J,G,I,K
14,L,J,G,K
15,L,I,M,K
16,L,I,M,N
17,K,I,M,N
18,K,P,O,N
19,K,P,O,Q
20,N,P,O,Q
21,N,P,K,Q
22,N,P,K,T
23,U,P,K,T
24,U,N,S,T
25,U,T,S,O
26,X,T,U,W
27,X,Y,U,W
28,X,Y,U,W
29,Z,Y,W,M
30,Z,B1,W,M
31,Z,B1,W,Y
32,C1,B1,D1,Y
33,C1,B1,D1,Y
34,C1,B1,D1,F1
35,Y,B1,G1,F1
36,Y,Z,G1,F1
37,Y,Z,F1,W
38,J1,D1,F1,H1
39,J1,D1,F1,H1
40,J1,D1,F1,H1
41,J1,K1,F1,L1
42,J1,K1,N1,L1
43,J1,K1,N1,L1
44,J1,O1,N1,D1
45,J1,O1,N1,H1
46,J1,O1,R1,H1
47,S1,O1,R1,H1
48,S1,O1,R1,P1
49,S1,O1,R1,P1
50,V1,L1,R1,T1
51,V1,L1,W1,T1
52,V1,X1,W1,T1
53,V1,X1,W1,T1
54,V1,X1,W1,T1
55,V1,R,W1,T1
56,T1,R,W1,V
57,W1,R,A1,V
58,W1,E1,A1,V
59,W1,E1,A1,I1
60,M1,E1,Q1,I1
61,M1,U1,Q1,I1
62,M1,U1,Q1,R
63,V,U1,A1,R
64,E1,I1,M1,R
65,E1,Q1,M1,U1
66,R,Q1,M1,-
67,R,Q1,M1,-
68,Q1,-,-,-
69,Q1,-,-,-
