id,arrival,burst,start,completion,turnaround,waiting,response
A,0,6,0,6,6,0,0
A1,29,4,57,64,35,31,28
B,1,4,1,5,4,0,0
B1,30,6,30,36,6,0,0
C,2,8,2,10,8,0,0
C1,31,3,32,35,4,1,1
D,4,3,4,7,3,0,0
D1,32,7,32,45,13,6,0
E,6,5,6,12,6,1,0
E1,33,5,58,66,33,28,25
F,6,5,6,11,5,0,0
F1,34,8,34,42,8,0,0
G,8,7,8,15,7,0,0
G1,35,2,35,37,2,0,0
H,9,2,9,11,2,0,0
H1,36,6,38,48,12,6,2
I,10,6,11,18,8,2,1
I1,37,4,59,65,28,24,22
J,11,4,11,15,4,0,0
J1,38,9,38,47,9,0,0
K,13,9,13,24,11,2,0
K1,39,3,41,44,5,2,2
L,14,3,14,17,3,0,0
L1,40,5,41,52,12,7,1
M,15,5,15,31,16,11,0
M1,41,7,60,68,27,20,19
N,16,7,16,25,9,2,0
N1,42,4,42,46,4,0,0
O,17,4,18,26,9,5,1
O1,43,6,44,50,7,1,1
P,18,6,18,24,6,0,0
P1,44,2,48,50,6,4,4
Q,19,3,19,22,3,0,0
Q1,45,8,60,70,25,17,15
R,20,8,55,68,48,40,35
R1,46,5,46,51,5,0,0
S,21,2,24,26,5,3,3
S1,47,3,47,50,3,0,0
T,22,5,22,27,5,0,0
T1,48,7,50,57,9,2,2
U,23,6,23,29,6,0,0
U1,49,4,61,66,17,13,12
V,24,4,56,64,40,36,32
V1,50,6,50,56,6,0,0
W,25,7,26,38,13,6,1
W1,51,9,51,60,9,0,0
X,26,3,26,29,3,0,0
X1,52,3,52,55,3,0,0
Y,27,9,27,38,11,2,0
Z,28,5,29,38,10,5,1
# cpu_0_utilization=100.0
# cpu_1_utilization=95.7
# cpu_2_utilization=92.9
# cpu_3_utilization=85.7
# avg_utilization=93.6
