tick,cpu_0,cpu_1,cpu_2,cpu_3
0,A,-,-,-
1,A,B,-,-
2,A,B,C,-
3,A,B,C,-
4,A,D,C,B
5,A,D,C,-
6,F,D,C,E
7,F,-,C,E
8,F,G,C,E
9,H,G,C,F
10,H,G,E,F
11,I,J,E,G
12,I,J,-,G
13,I,J,K,G
14,L,I,K,J
15,L,I,K,G
16,L,I,M,N
17,K,O,M,N
18,K,O,M,N
19,K,O,P,Q
20,M,N,P,Q
21,M,N,P,Q
22,R,N,K,O
23,R,S,K,T
24,R,S,K,T
25,P,U,N,T
26,P,U,V,W
27,P,U,V,W
28,R,X,V,W
29,R,X,T,Y
30,R,X,T,Y
31,Z,U,A1,Y
32,Z,U,A1,V
33,Z,U,A1,W
34,B1,C1,R,W
35,B1,C1,R,W
36,B1,C1,D1,Y
37,E1,F1,D1,Y
38,E1,F1,D1,Y
39,E1,F1,Z,A1
40,G1,H1,Z,W
41,G1,H1,I1,B1
42,J1,H1,I1,B1
43,J1,K1,I1,B1
44,J1,K1,D1,Y
45,L1,K1,D1,Y
46,L1,E1,D1,Y
47,L1,E1,F1,M1
48,N1,O1,F1,M1
49,N1,O1,F1,M1
50,N1,O1,H1,P1
51,I1,Q1,H1,P1
52,J1,Q1,H1,R1
53,J1,Q1,S1,R1
54,J1,D1,S1,R1
55,T1,L1,S1,U1
56,T1,L1,V1,U1
57,T1,F1,V1,U1
58,M1,F1,V1,W1
59,M1,N1,O1,W1
60,M1,X1,O1,W1
61,Q1,X1,O1,J1
62,Q1,X1,R1,J1
63,Q1,T1,R1,J1
64,U1,T1,V1,M1
65,W1,T1,V1,Q1
66,W1,T1,V1,Q1
67,W1,-,-,-
68,W1,-,-,-
69,W1,-,-,-
70,W1,-,-,-
