id,arrival,burst,start,completion,turnaround,waiting,response
A,0,6,0,6,6,0,0
A1,29,4,31,40,11,7,2
B,1,4,1,5,4,0,0
B1,30,6,34,44,14,8,4
C,2,8,2,10,8,0,0
C1,31,3,34,37,6,3,3
D,4,3,4,7,3,0,0
D1,32,7,36,55,23,16,4
E,6,5,6,12,6,1,0
E1,33,5,37,48,15,10,4
F,6,5,6,11,5,0,0
F1,34,8,37,59,25,17,3
G,8,7,8,16,8,1,0
G1,35,2,40,42,7,5,5
H,9,2,9,11,2,0,0
H1,36,6,40,53,17,11,4
I,10,6,11,17,7,1,1
I1,37,4,41,52,15,11,4
J,11,4,11,15,4,0,0
J1,38,9,42,64,26,17,4
K,13,9,13,25,12,3,0
K1,39,3,43,46,7,4,4
L,14,3,14,17,3,0,0
L1,40,5,45,57,17,12,5
M,15,5,16,22,7,2,1
M1,41,7,47,65,24,17,6
N,16,7,16,26,10,3,0
N1,42,4,48,60,18,14,6
O,17,4,17,23,6,2,0
O1,43,6,48,62,19,13,5
P,18,6,19,28,10,4,1
P1,44,2,50,52,8,6,6
Q,19,3,19,22,3,0,0
Q1,45,8,51,67,22,14,6
R,20,8,22,36,16,8,2
R1,46,5,52,64,18,13,6
S,21,2,23,25,4,2,2
S1,47,3,53,56,9,6,6
T,22,5,23,31,9,4,1
T1,48,7,55,67,19,12,7
U,23,6,25,34,11,5,2
U1,49,4,55,65,16,12,6
V,24,4,26,33,9,5,2
V1,50,6,56,67,17,11,6
W,25,7,26,41,16,9,1
W1,51,9,58,71,20,11,7
X,26,3,28,31,5,2,2
X1,52,3,60,63,11,8,8
Y,27,9,29,47,20,11,2
Z,28,5,31,41,13,8,3
# cpu_0_utilization=100.0
# cpu_1_utilization=91.5
# cpu_2_utilization=90.1
# cpu_3_utilization=87.3
# avg_utilization=92.3
