tick,cpu_0,cpu_1,cpu_2,cpu_3
0,A,-,-,-
1,A,B,-,-
2,A,B,C,-
3,A,B,C,-
4,A,B,C,D
5,A,-,C,D
6,F,E,C,D
7,F,E,C,-
8,F,E,C,G
9,F,E,C,G
10,F,E,H,G
11,J,I,H,G
12,J,I,-,G
13,J,I,K,G
14,J,I,K,G
15,L,I,K,M
16,L,I,K,M
17,L,O,K,M
18,P,O,K,M
19,P,O,K,M
20,P,O,K,Q
21,P,S,K,Q
22,P,S,T,Q
23,P,U,T,N
24,V,U,T,N
25,V,U,T,N
26,V,U,T,N
27,V,U,X,N
28,Z,U,X,N
29,Z,A1,X,N
30,Z,A1,B1,W
31,Z,A1,B1,W
32,Z,A1,B1,W
33,C1,E1,B1,W
34,C1,E1,B1,W
35,C1,E1,B1,W
36,G1,E1,H1,W
37,G1,E1,H1,I1
38,D1,R,H1,I1
39,D1,R,H1,I1
40,D1,R,H1,I1
41,D1,R,H1,K1
42,D1,R,N1,K1
43,D1,R,N1,K1
44,D1,R,N1,P1
45,L1,R,N1,P1
46,L1,R1,O1,M1
47,L1,R1,O1,M1
48,L1,R1,O1,M1
49,L1,R1,O1,M1
50,S1,R1,O1,M1
51,S1,U1,O1,M1
52,S1,U1,X1,M1
53,V1,U1,X1,T1
54,V1,U1,X1,T1
55,V1,F1,Q1,T1
56,V1,F1,Q1,T1
57,V1,F1,Q1,T1
58,V1,F1,Q1,T1
59,Y,F1,Q1,T1
60,Y,F1,Q1,J1
61,Y,F1,Q1,J1
62,Y,F1,Q1,J1
63,Y,W1,-,J1
64,Y,W1,-,J1
65,Y,W1,-,J1
66,Y,W1,-,J1
67,Y,W1,-,J1
68,-,W1,-,J1
69,-,W1,-,-
70,-,W1,-,-
71,-,W1,-,-
