id,arrival,burst,start,completion,turnaround,waiting,response
A,0,6,0,6,6,0,0
A1,29,4,29,33,4,0,0
B,1,4,1,5,4,0,0
B1,30,6,30,36,6,0,0
C,2,8,2,10,8,0,0
C1,31,3,33,36,5,2,2
D,4,3,4,7,3,0,0
D1,32,7,38,45,13,6,6
E,6,5,6,11,5,0,0
E1,33,5,33,38,5,0,0
F,6,5,6,11,5,0,0
F1,34,8,55,63,29,21,21
G,8,7,8,15,7,0,0
G1,35,2,36,38,3,1,1
H,9,2,10,12,3,1,1
H1,36,6,36,42,6,0,0
I,10,6,11,17,7,1,1
I1,37,4,37,41,4,0,0
J,11,4,11,15,4,0,0
J1,38,9,60,69,31,22,22
K,13,9,13,22,9,0,0
K1,39,3,41,44,5,2,2
L,14,3,15,18,4,1,1
L1,40,5,45,50,10,5,5
M,15,5,15,20,5,0,0
M1,41,7,46,53,12,5,5
N,16,7,23,30,14,7,7
N1,42,4,42,46,4,0,0
O,17,4,17,21,4,0,0
O1,43,6,46,52,9,3,3
P,18,6,18,24,6,0,0
P1,44,2,44,46,2,0,0
Q,19,3,20,23,4,1,1
Q1,45,8,55,63,18,10,10
R,20,8,38,46,26,18,18
R1,46,5,46,51,5,0,0
S,21,2,21,23,2,0,0
S1,47,3,50,53,6,3,3
T,22,5,22,27,5,0,0
T1,48,7,53,60,12,5,5
U,23,6,23,29,6,0,0
U1,49,4,51,55,6,2,2
V,24,4,24,28,4,0,0
V1,50,6,53,59,9,3,3
W,25,7,30,37,12,5,5
W1,51,9,63,72,21,12,12
X,26,3,27,30,4,1,1
X1,52,3,52,55,3,0,0
Y,27,9,59,68,41,32,32
Z,28,5,28,33,5,0,0
# cpu_0_utilization=94.4
# cpu_1_utilization=97.2
# cpu_2_utilization=83.3
# cpu_3_utilization=88.9
# avg_utilization=91.0
