tick,cpu_0
0,A
1,A
2,A
3,A
4,A
5,A
6,B
7,B
8,B
9,B
10,C
11,C
12,C
13,C
14,C
15,C
16,C
17,C
18,D
19,D
20,D
21,F
22,F
23,F
24,F
25,F
26,E
27,E
28,E
29,E
30,E
31,G
32,G
33,G
34,G
35,G
36,G
37,G
38,H
39,H
40,I
41,I
42,I
43,I
44,I
45,I
46,J
47,J
48,J
49,J
50,K
51,K
52,K
53,K
54,K
55,K
56,K
57,K
58,K
59,L
60,L
61,L
62,M
63,M
64,M
65,M
66,M
67,N
68,N
69,N
70,N
71,N
72,N
73,N
74,O
75,O
76,O
77,O
78,P
79,P
80,P
81,P
82,P
83,P
84,Q
85,Q
86,Q
87,R
88,R
89,R
90,R
91,R
92,R
93,R
94,R
95,S
96,S
97,T
98,T
99,T
100,T
101,T
102,U
103,U
104,U
105,U
106,U
107,U
108,V
109,V
110,V
111,V
112,W
113,W
114,W
115,W
116,W
117,W
118,W
119,X
120,X
121,X
122,Y
123,Y
124,Y
125,Y
126,Y
127,Y
128,Y
129,Y
130,Y
131,Z
132,Z
133,Z
134,Z
135,Z
136,A1
137,A1
138,A1
139,A1
140,B1
141,B1
142,B1
143,B1
144,B1
145,B1
146,C1
147,C1
148,C1
149,D1
150,D1
151,D1
152,D1
153,D1
154,D1
155,D1
156,E1
157,E1
158,E1
159,E1
160,E1
161,F1
162,F1
163,F1
164,F1
165,F1
166,F1
167,F1
168,F1
169,G1
170,G1
171,H1
172,H1
173,H1
174,H1
175,H1
176,H1
177,I1
178,I1
179,I1
180,I1
181,J1
182,J1
183,J1
184,J1
185,J1
186,J1
187,J1
188,J1
189,J1
190,K1
191,K1
192,K1
193,L1
194,L1
195,L1
196,L1
197,L1
198,M1
199,M1
200,M1
201,M1
202,M1
203,M1
204,M1
205,N1
206,N1
207,N1
208,N1
209,O1
210,O1
211,O1
212,O1
213,O1
214,O1
215,P1
216,P1
217,Q1
218,Q1
219,Q1
220,Q1
221,Q1
222,Q1
223,Q1
224,Q1
225,R1
226,R1
227,R1
228,R1
229,R1
230,S1
231,S1
232,S1
233,T1
234,T1
235,T1
236,T1
237,T1
238,T1
239,T1
240,U1
241,U1
242,U1
243,U1
244,V1
245,V1
246,V1
247,V1
248,V1
249,V1
250,W1
251,W1
252,W1
253,W1
254,W1
255,W1
256,W1
257,W1
258,W1
259,X1
260,X1
261,X1
