id,arrival,burst,start,completion,turnaround,waiting,response
A,0,6,0,6,6,0,0
A1,29,4,136,140,111,107,107
B,1,4,6,10,9,5,5
B1,30,6,140,146,116,110,110
C,2,8,10,18,16,8,8
C1,31,3,146,149,118,115,115
D,4,3,18,21,17,14,14
D1,32,7,149,156,124,117,117
E,6,5,26,31,25,20,20
E1,33,5,156,161,128,123,123
F,6,5,21,26,20,15,15
F1,34,8,161,169,135,127,127
G,8,7,31,38,30,23,23
G1,35,2,169,171,136,134,134
H,9,2,38,40,31,29,29
H1,36,6,171,177,141,135,135
I,10,6,40,46,36,30,30
I1,37,4,177,181,144,140,140
J,11,4,46,50,39,35,35
J1,38,9,181,190,152,143,143
K,13,9,50,59,46,37,37
K1,39,3,190,193,154,151,151
L,14,3,59,62,48,45,45
L1,40,5,193,198,158,153,153
M,15,5,62,67,52,47,47
M1,41,7,198,205,164,157,157
N,16,7,67,74,58,51,51
N1,42,4,205,209,167,163,163
O,17,4,74,78,61,57,57
O1,43,6,209,215,172,166,166
P,18,6,78,84,66,60,60
P1,44,2,215,217,173,171,171
Q,19,3,84,87,68,65,65
Q1,45,8,217,225,180,172,172
R,20,8,87,95,75,67,67
R1,46,5,225,230,184,179,179
S,21,2,95,97,76,74,74
S1,47,3,230,233,186,183,183
T,22,5,97,102,80,75,75
T1,48,7,233,240,192,185,185
U,23,6,102,108,85,79,79
U1,49,4,240,244,195,191,191
V,24,4,108,112,88,84,84
V1,50,6,244,250,200,194,194
W,25,7,112,119,94,87,87
W1,51,9,250,259,208,199,199
X,26,3,119,122,96,93,93
X1,52,3,259,262,210,207,207
Y,27,9,122,131,104,95,95
Z,28,5,131,136,108,103,103
# cpu_0_utilization=100.0
# avg_utilization=100.0
