tick,cpu_0
0,A
1,A
2,A
3,A
4,A
5,A
6,B
7,B
8,B
9,H
10,H
11,F
12,F
13,F
14,L
15,L
16,L
17,E
18,E
19,E
20,P
21,P
22,P
23,T
24,T
25,T
26,P
27,P
28,P
29,X
30,X
31,X
32,T
33,T
34,B1
35,B1
36,B1
37,F1
38,F1
39,F1
40,B1
41,B1
42,B1
43,J1
44,J1
45,J1
46,F1
47,F1
48,F1
49,N1
50,N1
51,N1
52,R1
53,R1
54,R1
55,J1
56,J1
57,J1
58,F1
59,F1
60,V1
61,V1
62,V1
63,N1
64,R1
65,R1
66,J1
67,J1
68,J1
69,V1
70,V1
71,V1
72,B
73,J
74,J
75,J
76,F
77,F
78,N
79,N
80,N
81,Q
82,Q
83,Q
84,E
85,E
86,U
87,U
88,U
89,Y
90,Y
91,Y
92,C1
93,C1
94,C1
95,G1
96,G1
97,K1
98,K1
99,K1
100,O1
101,O1
102,O1
103,S1
104,S1
105,S1
106,W1
107,W1
108,W1
109,J
110,N
111,N
112,N
113,U
114,U
115,U
116,Y
117,Y
118,Y
119,O1
120,O1
121,O1
122,W1
123,W1
124,W1
125,N
126,Y
127,Y
128,Y
129,W1
130,W1
131,W1
132,C
133,C
134,C
135,G
136,G
137,G
138,K
139,K
140,K
141,O
142,O
143,O
144,S
145,S
146,W
147,W
148,W
149,Z
150,Z
151,Z
152,D1
153,D1
154,D1
155,H1
156,H1
157,H1
158,L1
159,L1
160,L1
161,P1
162,P1
163,T1
164,T1
165,T1
166,X1
167,X1
168,X1
169,C
170,C
171,C
172,G
173,G
174,G
175,K
176,K
177,K
178,O
179,W
180,W
181,W
182,Z
183,Z
184,D1
185,D1
186,D1
187,H1
188,H1
189,H1
190,L1
191,L1
192,T1
193,T1
194,T1
195,C
196,C
197,G
198,K
199,K
200,K
201,W
202,D1
203,T1
204,D
205,D
206,D
207,I
208,I
209,I
210,M
211,M
212,M
213,R
214,R
215,R
216,V
217,V
218,V
219,A1
220,A1
221,A1
222,E1
223,E1
224,E1
225,I1
226,I1
227,I1
228,M1
229,M1
230,M1
231,Q1
232,Q1
233,Q1
234,U1
235,U1
236,U1
237,I
238,I
239,I
240,M
241,M
242,R
243,R
244,R
245,V
246,A1
247,E1
248,E1
249,I1
250,M1
251,M1
252,M1
253,Q1
254,Q1
255,Q1
256,U1
257,R
258,R
259,M1
260,Q1
261,Q1
