id,arrival,burst,start,completion,turnaround,waiting,response
A,0,6,0,6,6,0,0
A1,29,4,219,247,218,214,190
B,1,4,6,73,72,68,5
B1,30,6,34,43,13,7,4
C,2,8,132,197,195,187,130
C1,31,3,92,95,64,61,61
D,4,3,204,207,203,200,200
D1,32,7,152,203,171,164,120
E,6,5,17,86,80,75,11
E1,33,5,222,249,216,211,189
F,6,5,11,78,72,67,5
F1,34,8,37,60,26,18,3
G,8,7,135,198,190,183,127
G1,35,2,95,97,62,60,60
H,9,2,9,11,2,0,0
H1,36,6,155,190,154,148,119
I,10,6,207,240,230,224,197
I1,37,4,225,250,213,209,188
J,11,4,73,110,99,95,62
J1,38,9,43,69,31,22,5
K,13,9,138,201,188,179,125
K1,39,3,97,100,61,58,58
L,14,3,14,17,3,0,0
L1,40,5,158,192,152,147,118
M,15,5,210,242,227,222,195
M1,41,7,228,260,219,212,187
N,16,7,78,126,110,103,62
N1,42,4,49,64,22,18,7
O,17,4,141,179,162,158,124
O1,43,6,100,122,79,73,57
P,18,6,20,29,11,5,2
P1,44,2,161,163,119,117,117
Q,19,3,81,84,65,62,62
Q1,45,8,231,262,217,209,186
R,20,8,213,259,239,231,193
R1,46,5,52,66,20,15,6
S,21,2,144,146,125,123,123
S1,47,3,103,106,59,56,56
T,22,5,23,34,12,7,1
T1,48,7,163,204,156,149,115
U,23,6,86,116,93,87,63
U1,49,4,234,257,208,204,185
V,24,4,216,246,222,218,192
V1,50,6,60,72,22,16,10
W,25,7,146,202,177,170,121
W1,51,9,106,132,81,72,55
X,26,3,29,32,6,3,3
X1,52,3,166,169,117,114,114
Y,27,9,89,129,102,93,62
Z,28,5,149,184,156,151,121
# cpu_0_utilization=100.0
# avg_utilization=100.0
