id,arrival,burst,start,completion,turnaround,waiting,response
A,0,6,0,12,12,6,0
A1,29,4,90,197,168,164,61
B,1,4,3,22,21,17,2
B1,30,6,93,200,170,164,63
C,2,8,6,98,96,88,4
C1,31,3,98,101,70,67,67
D,4,3,12,15,11,8,8
D1,32,7,101,250,218,211,69
E,6,5,18,66,60,55,12
E1,33,5,104,205,172,167,71
F,6,5,15,56,50,45,9
F1,34,8,110,252,218,210,76
G,8,7,22,191,183,176,14
G1,35,2,113,115,80,78,78
H,9,2,25,27,18,16,16
H1,36,6,115,211,175,169,79
I,10,6,30,110,100,94,20
I1,37,4,119,212,175,171,82
J,11,4,33,119,108,104,22
J1,38,9,122,255,217,208,84
K,13,9,36,218,205,196,23
K1,39,3,125,128,89,86,86
L,14,3,39,42,28,25,25
L1,40,5,131,220,180,175,91
M,15,5,42,150,135,130,27
M1,41,7,134,256,215,208,93
N,16,7,45,236,220,213,29
N1,42,4,137,224,182,178,95
O,17,4,48,172,155,151,31
O1,43,6,140,227,184,178,97
P,18,6,51,178,160,154,33
P1,44,2,143,145,101,99,99
Q,19,3,56,59,40,37,37
Q1,45,8,145,258,213,205,100
R,20,8,59,245,225,217,39
R1,46,5,150,232,186,181,104
S,21,2,62,64,43,41,41
S1,47,3,153,156,109,106,106
T,22,5,66,183,161,156,44
T1,48,7,156,259,211,204,108
U,23,6,69,186,163,157,46
U1,49,4,162,237,188,184,113
V,24,4,72,187,163,159,48
V1,50,6,165,240,190,184,115
W,25,7,75,246,221,214,50
W1,51,9,168,262,211,202,117
X,26,3,81,84,58,55,55
X1,52,3,172,175,123,120,120
Y,27,9,84,249,222,213,57
Z,28,5,87,196,168,163,59
# cpu_0_utilization=100.0
# avg_utilization=100.0
