tick,cpu_0
0,A
1,A
2,A
3,A
4,A
5,A
6,D
7,D
8,D
9,H
10,H
11,B
12,B
13,B
14,B
15,L
16,L
17,L
18,J
19,J
20,J
21,J
22,S
23,S
24,Q
25,Q
26,Q
27,X
28,X
29,X
30,O
31,O
32,O
33,O
34,C1
35,C1
36,C1
37,G1
38,G1
39,K1
40,K1
41,K1
42,V
43,V
44,V
45,V
46,P1
47,P1
48,S1
49,S1
50,S1
51,A1
52,A1
53,A1
54,A1
55,X1
56,X1
57,X1
58,I1
59,I1
60,I1
61,I1
62,N1
63,N1
64,N1
65,N1
66,U1
67,U1
68,U1
69,U1
70,F
71,F
72,F
73,F
74,F
75,E
76,E
77,E
78,E
79,E
80,M
81,M
82,M
83,M
84,M
85,T
86,T
87,T
88,T
89,T
90,Z
91,Z
92,Z
93,Z
94,Z
95,E1
96,E1
97,E1
98,E1
99,E1
100,L1
101,L1
102,L1
103,L1
104,L1
105,R1
106,R1
107,R1
108,R1
109,R1
110,I
111,I
112,I
113,I
114,I
115,I
116,P
117,P
118,P
119,P
120,P
121,P
122,U
123,U
124,U
125,U
126,U
127,U
128,B1
129,B1
130,B1
131,B1
132,B1
133,B1
134,H1
135,H1
136,H1
137,H1
138,H1
139,H1
140,O1
141,O1
142,O1
143,O1
144,O1
145,O1
146,V1
147,V1
148,V1
149,V1
150,V1
151,V1
152,G
153,G
154,G
155,G
156,G
157,G
158,G
159,N
160,N
161,N
162,N
163,N
164,N
165,N
166,W
167,W
168,W
169,W
170,W
171,W
172,W
173,D1
174,D1
175,D1
176,D1
177,D1
178,D1
179,D1
180,M1
181,M1
182,M1
183,M1
184,M1
185,M1
186,M1
187,T1
188,T1
189,T1
190,T1
191,T1
192,T1
193,T1
194,C
195,C
196,C
197,C
198,C
199,C
200,C
201,C
202,R
203,R
204,R
205,R
206,R
207,R
208,R
209,R
210,F1
211,F1
212,F1
213,F1
214,F1
215,F1
216,F1
217,F1
218,Q1
219,Q1
220,Q1
221,Q1
222,Q1
223,Q1
224,Q1
225,Q1
226,K
227,K
228,K
229,K
230,K
231,K
232,K
233,K
234,K
235,Y
236,Y
237,Y
238,Y
239,Y
240,Y
241,Y
242,Y
243,Y
244,J1
245,J1
246,J1
247,J1
248,J1
249,J1
250,J1
251,J1
252,J1
253,W1
254,W1
255,W1
256,W1
257,W1
258,W1
259,W1
260,W1
261,W1
