id,arrival,burst,start,completion,turnaround,waiting,response
A,0,6,0,6,6,0,0
A1,29,4,51,55,26,22,22
B,1,4,11,15,14,10,10
B1,30,6,128,134,104,98,98
C,2,8,194,202,200,192,192
C1,31,3,34,37,6,3,3
D,4,3,6,9,5,2,2
D1,32,7,173,180,148,141,141
E,6,5,75,80,74,69,69
E1,33,5,95,100,67,62,62
F,6,5,70,75,69,64,64
F1,34,8,210,218,184,176,176
G,8,7,152,159,151,144,144
G1,35,2,37,39,4,2,2
H,9,2,9,11,2,0,0
H1,36,6,134,140,104,98,98
I,10,6,110,116,106,100,100
I1,37,4,58,62,25,21,21
J,11,4,18,22,11,7,7
J1,38,9,244,253,215,206,206
K,13,9,226,235,222,213,213
K1,39,3,39,42,3,0,0
L,14,3,15,18,4,1,1
L1,40,5,100,105,65,60,60
M,15,5,80,85,70,65,65
M1,41,7,180,187,146,139,139
N,16,7,159,166,150,143,143
N1,42,4,62,66,24,20,20
O,17,4,30,34,17,13,13
O1,43,6,140,146,103,97,97
P,18,6,116,122,104,98,98
P1,44,2,46,48,4,2,2
Q,19,3,24,27,8,5,5
Q1,45,8,218,226,181,173,173
R,20,8,202,210,190,182,182
R1,46,5,105,110,64,59,59
S,21,2,22,24,3,1,1
S1,47,3,48,51,4,1,1
T,22,5,85,90,68,63,63
T1,48,7,187,194,146,139,139
U,23,6,122,128,105,99,99
U1,49,4,66,70,21,17,17
V,24,4,42,46,22,18,18
V1,50,6,146,152,102,96,96
W,25,7,166,173,148,141,141
W1,51,9,253,262,211,202,202
X,26,3,27,30,4,1,1
X1,52,3,55,58,6,3,3
Y,27,9,235,244,217,208,208
Z,28,5,90,95,67,62,62
# cpu_0_utilization=100.0
# avg_utilization=100.0
